id,title,year,venue,doi,ta_decision,ta_reason,ft_decision,ft_reason,round,reviewer
74,MTH-IDS: A Multi-Tiered Hybrid Intrusion Detection System for Internet of Vehicles,2021.0,arXiv,10.48550/arXiv.2105.13289,,,,,arxiv,
75,Robustness Evaluation of Deep Unsupervised Learning Algorithms for Intrusion Detection Systems,2022.0,arXiv,10.48550/arXiv.2207.03576,,,,,arxiv,
76,Road Context-aware Intrusion Detection System for Autonomous Cars,2019.0,arXiv,10.48550/arXiv.1908.00732,,,,,arxiv,
77,U-Fair: Uncertainty-based Multimodal Multitask Learning for Fairer Depression Detection,2025.0,arXiv,10.48550/arXiv.2501.09687,,,,,arxiv,
78,A Transfer Learning and Optimized CNN Based Intrusion Detection System for Internet of Vehicles,2022.0,arXiv,10.48550/arXiv.2201.11812,,,,,arxiv,
79,Revealing Method for the Intrusion Detection System,2010.0,arXiv,10.48550/arXiv.1004.4598,,,,,arxiv,
80,Unsupervised Representation Learning with Minimax Distance Measures,2019.0,arXiv,10.48550/arXiv.1904.13223,,,,,arxiv,
81,Why Interpretability in Machine Learning? An Answer Using Distributed Detection and Data Fusion Theory,2018.0,arXiv,10.48550/arXiv.1806.09710,,,,,arxiv,
82,A deep learning approach to predict the number of k-barriers for intrusion detection over a circular region using wireless sensor networks,2022.0,arXiv,10.48550/arXiv.2208.11887,,,,,arxiv,
83,Teaching Uncertainty Quantification in Machine Learning through Use Cases,2021.0,arXiv,10.48550/arXiv.2108.08712,,,,,arxiv,
84,LIGHT-HIDS: A Lightweight and Effective Machine Learning-Based Framework for Robust Host Intrusion Detection,2025.0,arXiv,10.48550/arXiv.2509.13464,,,,,arxiv,
85,A New Clustering Approach for Anomaly Intrusion Detection,2014.0,arXiv,10.48550/arXiv.1404.2772,,,,,arxiv,
86,Adaptive Intrusion Detection System Leveraging Dynamic Neural Models with Adversarial Learning for 5G/6G Networks,2025.0,arXiv,10.48550/arXiv.2512.10637,,,,,arxiv,
87,Automatic Layout Generation with Applications in Machine Learning Engine Evaluation,2019.0,arXiv,10.48550/arXiv.1912.05796,,,,,arxiv,
88,Towards Autonomous Cybersecurity: An Intelligent AutoML Framework for Autonomous Intrusion Detection,2024.0,arXiv,10.48550/arXiv.2409.03141,,,,,arxiv,
89,Automated Machine Learning for Unsupervised Tabular Tasks,2025.0,arXiv,10.48550/arXiv.2510.07569,,,,,arxiv,
90,Sarcasm Detection on Reddit Using Classical Machine Learning and Feature Engineering,2025.0,arXiv,10.48550/arXiv.2512.04396,,,,,arxiv,
